Name,Price
Модуль памяти KINGSTON HyperX FURY HX430C15FB3K2/16 DDR4 -  2x 8ГБ,7890
Модуль памяти CRUCIAL CT8G4SFRA266 DDR4 -  8ГБ,3210
Модуль памяти CRUCIAL CT8G4SFS824A DDR4 -  8ГБ,3640
Модуль памяти CORSAIR CMSA4GX3M1A1066C7 DDR3 -  4ГБ,2180
Модуль памяти PATRIOT Signature PSD44G266681 DDR4 -  4ГБ,1810
Модуль памяти AMD Radeon R7 Performance Series R748G2400U2S-UO DDR4 -  8ГБ,2840
Модуль памяти AMD R534G1601S1S-UGO DDR3 -  4ГБ,1770
Модуль памяти PATRIOT PSD22G8002S DDR2 -  2ГБ,1190
Модуль памяти AMD Radeon R7 Performance Series R744G2400U1S-UO DDR4 -  4ГБ,1850
Модуль памяти PATRIOT PSD22G80026 DDR2 -  2ГБ,1150
Модуль памяти KINGSTON HyperX FURY Black HX426C16FB3/8 DDR4 -  8ГБ,3790
Модуль памяти AMD R538G1601U2S-UO black DDR3 -  8ГБ,3090
Модуль памяти AMD Radeon R7 Performance Series R744G2133U1S-UO DDR4 -  4ГБ,1860
Модуль памяти PATRIOT PSD38G13332 DDR3 -  8ГБ,2960
Вентилятор AEROCOOL Motion 12 plus,320
Вентилятор DEEPCOOL XFAN 120,300
Вентилятор AEROCOOL Cosmo 12,370
Вентилятор AEROCOOL Frost 12 PWM,380
Вентилятор DEEPCOOL XFAN 80,190
Вентилятор DEEPCOOL WIND BLADE 120,390
Вентилятор AEROCOOL Motion 8 Plus,210
Вентилятор AEROCOOL Rev Red,470
Вентилятор DEEPCOOL UF120,780
Вентилятор AEROCOOL Frost 8,290
Вентилятор COOLER MASTER NCR-12K1-GP,290
Вентилятор AEROCOOL Rev Blue,480
Вентилятор DEEPCOOL XFAN 40,200
Вентилятор DEEPCOOL GS120,580
Вентилятор DEEPCOOL XFAN 60,210
Вентилятор AEROCOOL Motion 12 plus Blue,470
Вентилятор DEEPCOOL XFAN 90,210
Вентилятор AEROCOOL Rev RGB,660
Вентилятор DEEPCOOL RF 120,910
Вентилятор TITAN TFD-9225H12ZP/KU(RB),540
Вентилятор ZALMAN ZM-F3 (SF),470
Вентилятор ZALMAN ZM-F1 Plus (SF),340
Вентилятор TITAN TFD-9225L12Z,290
Вентилятор TITAN DCF-8025L12S,230
Вентилятор DEEPCOOL XFAN 80L/B,320
Вентилятор GLACIALTECH GT ICE 7,150
Вентилятор ZALMAN ZM-F3 FDB(SF),620
Вентилятор ZALMAN ZM-F2 Plus (SF),320
Вентилятор AEROCOOL Motion 8 Red-3P,280
Вентилятор GLACIALTECH IceWind 6015,130
Вентилятор COOLER MASTER SickleFlow 120 Red,690
Видеокарта MSI nVidia  GeForce GT 710,3650
Видеокарта PALIT NVIDIA  GeForce RTX 2060,57220
Видеокарта MSI nVidia  GeForce GT 1030,6890
Видеокарта ASUS nVidia  GeForce GT 1030,7390
Видеокарта GIGABYTE nVidia  GeForce GT 710,3890
Видеокарта GIGABYTE nVidia  GeForce GT 710,5590
Видеокарта PALIT NVIDIA  GeForce RTX 3060,63040
Видеокарта GIGABYTE nVidia  GeForce GT 710,4350
Видеокарта MSI nVidia  GeForce GT 730,6000
Видеокарта GIGABYTE nVidia  GeForce GT 730,6990
Видеокарта GIGABYTE nVidia  GeForce GT 710,4390
Видеокарта MSI nVidia  GeForce GTX 1660,39760
Видеокарта PALIT NVIDIA  GeForce RTX 3060Ti,77590
Видеокарта PALIT NVIDIA  GeForce GTX 1660,38790
Видеокарта PALIT nVidia  GeForce GT 710,3570
Видеокарта MSI nVidia  GeForce GT 1030,6790
Видеокарта MSI nVidia  GeForce GT 730,7450
Видеокарта GIGABYTE NVIDIA  GeForce RTX 3060Ti,73320
Видеокарта MSI nVidia  GeForce GT 1030,6790
Видеокарта MSI nVidia  GeForce GTX 1050TI,18900
Видеокарта ASUS nVidia  GeForce GT 710,6390
Видеокарта MSI NVIDIA  GeForce GT 730,7090
Видеокарта ASUS NVIDIA  GeForce GT 710,4790
Видеокарта SAPPHIRE AMD  Radeon R7 240,6590
Видеокарта GIGABYTE nVidia  GeForce GT 1030,7090
Видеокарта PALIT NVIDIA  GeForce RTX 3070,105990
Видеокарта PALIT NVIDIA  GeForce RTX 3060Ti,73710
Видеокарта GIGABYTE nVidia  GeForce GT 730,6290
Видеокарта ASUS AMD  Radeon R7 240,7190
Видеокарта PALIT NVIDIA  GeForce GTX 1660TI,47520
Видеокарта MSI nVidia  GeForce GTX 1650,22790
